"Page path","Percent of page loads","Page loads","INP P75","INP distribution"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3N1cGVyZmVldC1jb21tdW5pdHktcmV0YWlsZXItYXdhcmQtZmluYWxpc3RzLTIwMjE%2C/",0,1,0,"[0,0,0,0]"
"/en-ca/everyday-pain-relief",0,1,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL3llcy1jYWJpbi1mZXZlci1pcy1yZWFsLWhlcmUtaXMtaG93LXRvLXByZXZlbnQtaXQ%2C/",0,1,0,"[0,0,0,0]"
"/activity/military/default.aspx",0,1,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-2024-year-in-review",0,1,88,"[1,1,0,0]"
"/blogs/foot-health-podiatry/should-i-put-footbeds-in-my-ski-boots",0,10,16,"[1,1,0,0]"
"/blogs/foot-health-podiatry/work-boot-insoles-that-fight-fatigue-even-on-concrete-floors",0,10,6,"[2,2,0,0]"
"/en-us/insoles-and-sandals/all-purpose-support-high-arch-green-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/blog/how-to-ramp-up-your-fitness-routine-with-trail-running",0,1,0,"[0,0,0,0]"
"/blogs/company-news/10-best-hikes-in-boulder",0,1,0,"[0,0,0,0]"
"/en-us/news/5-ways-to-reduce-stress-for-total-body-wellness",0,1,0,"[0,0,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nLzMtZGF5cy1vZi1ydW5uaW5nLWluLXRocmVlLXUtcy10cmFpbC1tZWNjYXM%2C/",0,1,0,"[0,0,0,0]"
"/blogs/health-wellness/plantar-fasciitis-relief-superfeet-best-sellers",0,27,122,"[8,7,1,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL2FkdmVudHVyZS13aXRoLXNmLW1lZXQtY2hyaXM%2C/",0,1,0,"[0,0,0,0]"
"/pages/inso1%20cug%20chopped%20onion%20to%20gramsle-finder",0,1,0,"[0,0,0,0]"
"/products/run-support-low-arch",0,16,242,"[2,1,1,0]"
"/blogs/running/fix-your-plantar-fasciitis-pain",0,2,0,"[0,0,0,0]"
"/pages/accessibility-policy",0,1,24,"[1,1,0,0]"
"/blogs/company-news/5-great-long-runs-in-philadelphia",0,2,0,"[0,0,0,0]"
"/en-ca/insoles-and-sandals",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/10-of-the-best-weekend-backpacking-trips-in-the-us",0,2,0,"[0,0,0,0]"
"/en-us/news/recovery-sandals-give-feet-support-they-deserve",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/9-trails-that-prove-the-midwest-is-a-hikers-paradise",0,3,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-is-now-the-official-insole-partner-of-the-kitchener-rangers",0,1,0,"[0,0,0,0]"
"/en-ca/products/run-support-low-arch",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nL3dvcmstdXAtYS1zd2VhdC13aXRoLXRoaXMtc2hhZG93Ym94aW5nLWhvbWUtd29ya291dA%2C%2C/",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/it-band-syndrome-explained",0,6,0,"[0,0,0,0]"
"/blogs/company-news/2024-superfeet-impact-report",0,5,64,"[1,1,0,0]"
"/collections/discount-eligable",0,30,88,"[5,5,0,0]"
"/en-gb/news/sick-day-survival",0,1,0,"[0,0,0,0]"
"/ee/images/uploads/b2b/13SF-ProductBroch-FINAL_V2_lowrez.pdf",0,1,0,"[0,0,0,0]"
"/rx/blogs/foot-health-podiatry",0,2,0,"[0,0,0,0]"
"/blogs/national-parks/backpacking-in-shenandoah-national-park-an-insider-s-guide",0,6,0,"[0,0,0,0]"
"/blogs/running/running-for-boxing-a-boxers-running-routine-explained",0,27,334,"[4,2,1,1]"
"/dealers_usa/dealer/dashboard",0,1,72,"[1,1,0,0]"
"/pages/phase-2-hidden-test-page",0,1,24,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3BsYW50YXItZmFzY2lpdGlzLWV4cGxhaW5lZA%2C%2C/",0,1,0,"[0,0,0,0]"
"/products/raquet-performance",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/5-gorgeous-waterfall-hikes-around-portland",0,1,0,"[0,0,0,0]"
"/blogs/company-news/news-and-reviews-what-people-are-saying-about-superfeet",0,6,104,"[3,3,0,0]"
"/en-eu/news/6-running-recovery-tips-to-keep-you-healthy",0,1,0,"[0,0,0,0]"
"/blogs/company-news/meet-the-2024-superfeet-local-grant-recipients",0,1,88,"[1,1,0,0]"
"/blogs/company-news/the-best-day-hikes-around-san-francisco-7-local-favorites",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9iZXJyeQ%2C%2C/",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/bunions-explained",0,10,70,"[6,6,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29yaWdpbnMtb2Ytb3J0aG90aWMtaW5zb2xlcw%2C%2C/",0,1,0,"[0,0,0,0]"
"/products/all-purpose-support-carbon",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/orange",0,1,0,"[0,0,0,0]"
"/en-gb/blog/trail-running-in-salt-lake-when-spring-comes-early",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/origins-of-orthotic-insoles",0,8,0,"[0,0,0,0]"
"/blogs/health-wellness/structured-heel-cup-a-foot-comfort-gamechanger",0,20,168,"[3,3,0,0]"
"/blogs/company-news/7-beautiful-backpacking-getaways-near-chattanooga",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/green",0,4,56,"[1,1,0,0]"
"/blogs/company-news/are-soft-or-firm-insoles-better-for-me",0,14,64,"[5,5,0,0]"
"/blogs/national-parks/trail-running-in-yosemite-national-park-an-insider-s-guide",0,2,0,"[0,0,0,0]"
"/blogs/company-news/a-slice-of-heaven-for-central-florida-runners",0,4,76,"[2,2,0,0]"
"/products/run-support-high-arch",0,12,196,"[4,3,1,0]"
"/blogs/national-parks/trail-running-in-rocky-mountain-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/pages/become-an-ambassador",0,4,0,"[0,0,0,0]"
"/blogs/national-parks/trail-running-in-shenandoah-national-park-an-insider-s-guide",0,2,0,"[0,0,0,0]"
"/blogs/running/foot-stretches-and-exercises-for-your-running-routine",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/tailors-bunion-relief-and-prevention-tips-with-superfeet-insoles",0,20,124,"[6,6,0,0]"
"/checkwsjouts/cn/hWN3nkkZhhExOEI2V8odtgQL/en-us/thank-you",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/heel-spurs-explained",0,5,234,"[2,1,1,0]"
"/en/products/run-support-low-arch",0,2,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/welcome-to-the-future-of-superfeet",0,10,224,"[3,2,1,0]"
"/blogs/foot-health-podiatry/peroneal-tendonitis-explained",0,6,40,"[1,1,0,0]"
"/en-ca/blog/superfeet-celebrates-pride-with-community-partners",0,1,0,"[0,0,0,0]"
"/pages/healthcare-professionals/",0,8,94,"[2,2,0,0]"
"/en-eu/news/how-to-avoid-warm-weather-flip-flop-failures",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9hbWJhc3NhZG9yLWFwcGxpY2F0aW9u/",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/how-to-make-your-shoes-more-comfortable-with-superfeet-insoles",0,8,114,"[2,2,0,0]"
"/blogs/foot-health-podiatry/hammer-toes-explained",0,1,0,"[0,0,0,0]"
"/pages/ccpa-privacy-policy",0,4,40,"[1,1,0,0]"
"/pages/b2b-personalized-fit",0,2,98,"[2,2,0,0]"
"/blogs/foot-health-podiatry/how-to-prevent-and-treat-pain-from-high-arch-feet",0,2,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/black",0,3,40,"[1,1,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nLzEwLW9mLXRoZS1iZXN0LXJ1bm5pbmctc29uZ3Mtb2YtYWxsLXRpbWU%2C/",0,1,0,"[0,0,0,0]"
"/en-us/adapt-run-max-insoles",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzMtc21hbGwtdG93bi1lc2NhcGVzLW5lYXItbmV3LXlvcmstY2l0eS10aGF0LWFyZS1wZXJmZWN0LWZvci1yb2FkLXJ1bm5pbmc%2C/",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9uYXRpb25hbC1wYXJrcy9vbHltcGljL3dlZWtlbmQtZ3VpZGU%2C/",0,1,0,"[0,0,0,0]"
"/en-us/news/running-motivation-how-to-love-running",0,1,0,"[0,0,0,0]"
"/en-au/pages/national-parks",0,1,0,"[0,0,0,0]"
"/pages/u-s-shipping-policy",0,11,112,"[4,4,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3RoZS0xMC1iZXN0LWhpa2VzLWZvci13aW50ZXItc3Rvcm0td2F0Y2hpbmc%2C/",0,1,0,"[0,0,0,0]"
"/policies/shipping-policy",0,14,104,"[2,2,0,0]"
"/blogs/hiking-outdoor/exploring-yellowstone-national-park-in-winter",0,1,48,"[1,1,0,0]"
"/blogs/company-news/introducing-new-superfeet-product-names-and-packaging",0,24,132,"[7,6,1,0]"
"/blogs/foot-health-podiatry/strengthen-chronic-ankle-instability-with-superfeet-insoles",0,5,0,"[0,0,0,0]"
"/en-eu/insoles-and-sandals",0,1,0,"[0,0,0,0]"
"/pages/international-distributors",0,9,31332,"[3,2,0,1]"
"/blogs/foot-health-podiatry/tarsal-tunnel-syndrome-find-relief-with-superfeet-insoles",0,6,0,"[0,0,0,0]"
"/blogs/company-news/celebrating-international-womens-day",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/work-on-your-feet-discover-the-best-insoles-for-long-shifts",0,2,40,"[1,1,0,0]"
"/blogs/company-news/superfeet-celebrates-new-direction",0,1,8,"[1,1,0,0]"
"/blogs/hiking-outdoor/heres-how-i-prepared-for-the-r2r2r-before-and-after-experience",0,5,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9xci1jYXN1YWw%2C/",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,14,0,"[0,0,0,0]"
"/rx/national-parks/national-parks/shenandoah",0,1,0,"[0,0,0,0]"
"/blogs/company-news/the-importance-of-having-a-defined-goal-for-your-running",0,1,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9jdXN0b20tYmxhY2stcGRwLXRlc3Q%2C/",0,1,0,"[0,0,0,0]"
"/rx/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/blogs/health-wellness/orthotic-superfeet-shape-arch-support-and-so-much-more",0,2,8,"[1,1,0,0]"
"/en-us/insoles-and-sandals/everyday/green",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3J1bm5pbmctcGFjZS1jYWxjdWxhdG9yLWhpdC15b3VyLW5leHQtcHI%2C/",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzUtcmFyZWx5LXRyYXZlbGVkLWRheS1oaWtlcy1pbi1vbHltcGljLW5hdGlvbmFsLXBhcms%2C/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/6-types-of-running-workouts-and-why-you-need-them",0,12,96,"[3,3,0,0]"
"/blogs/foot-health-podiatry/flat-feet-vs-normal-arches-whats-the-real-difference-and-how-to-find-relief",0,7,108,"[2,2,0,0]"
"/blogs/company-news/performance-insoles-redefined-introducing-run-pacer-elite",0,17,40,"[6,6,0,0]"
"/blogs/foot-health-podiatry/why-high-arches-can-lead-to-high-instep-foot",0,5,78,"[2,2,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi93aW50ZXItY29tZm9ydC10aGlu/",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/accessory-navicular-syndrome-how-to-reduce-pain-and-improve-foot-function",0,1,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/index/",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/run-cushion-low-arch",0,1,0,"[0,0,0,0]"
"/en-eu/news/6-quick-and-easy-wellness-tips",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/how-to-take-care-of-your-feet-while-thru-hiking",0,2,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/the-best-ways-to-relieve-foot-pain-from-standing-at-work",0,3,48,"[1,1,0,0]"
"/foot-health/FHI28.aspx",0,1,0,"[0,0,0,0]"
"/foot-health/FHI23.aspx",0,1,0,"[0,0,0,0]"
"/products/easyfit-women",0,1,0,"[0,0,0,0]"
"/pages/contest-rules",0,1,0,"[0,0,0,0]"
"/pages/our-giving",0,32,108,"[12,12,0,0]"
"/collections/running-V2",0,1,0,"[0,0,0,0]"
"/products/all-purpose",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor",0,14,176,"[1,1,0,0]"
"/en-us/delux-mens-3-4",0,6,128,"[1,1,0,0]"
"/pages/alt-size-chart",0,1,0,"[0,0,0,0]"
"/en-eu/products/flexmax",0,1,656,"[1,0,0,1]"
"/blogs/technology",0,3,24,"[1,1,0,0]"
"/products/me3d-max",0,26,60,"[4,4,0,0]"
"/arch-support-insoles",0,1,0,"[0,0,0,0]"
"/products/easyfit-men",0,1,0,"[0,0,0,0]"
"/pages/sustainability",0,24,70,"[10,10,0,0]"
"/store/HotPINK.aspx",0,1,0,"[0,0,0,0]"
"/en-gb/shop/insoles/run",0,1,0,"[0,0,0,0]"
"/pages/qr-work-guide",0,10,104,"[1,1,0,0]"
"/en-gb/blogs/running",0,1,0,"[0,0,0,0]"
"/foot-health/FHI76.aspx",0,1,0,"[0,0,0,0]"
"/pages/privacy-policy",0,15,138,"[2,2,0,0]"
"/en-gb/shop/insoles/snow",0,1,0,"[0,0,0,0]"
"/foot-health/FHI8.aspx",0,1,0,"[0,0,0,0]"
"/products/flexmax",0,1,0,"[0,0,0,0]"
"/foot-health/FHI35.aspx",0,1,0,"[0,0,0,0]"
"/products/green-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/shop/insoles/run",0,1,0,"[0,0,0,0]"
"/blogs/health-wellness",0,4,0,"[0,0,0,0]"
"/foot-health/FHI24.aspx",0,1,0,"[0,0,0,0]"
"/en-us/customer/account/",0,1,232,"[1,0,1,0]"
"/pages/new-size-chart",0,1,0,"[0,0,0,0]"
"/en-us/hockey-comfort",0,1,0,"[0,0,0,0]"
"/foot-health/FHI88.aspx",0,1,0,"[0,0,0,0]"
"/policies/privacy-policy",0,2,0,"[0,0,0,0]"
"/pages/pain-relief",0,28,88,"[5,5,0,0]"
"/rx/scanning-technology/",0,2,0,"[0,0,0,0]"
"/en-us/insoles/green",0,1,0,"[0,0,0,0]"
"/pages/cookie-policy",0,31,142,"[6,6,0,0]"
"/en-us/why-superfeet",0,1,0,"[0,0,0,0]"
"/blogs/company-news",0,3,16,"[1,1,0,0]"
"/collections/unisex",0,3,176,"[1,1,0,0]"
"/activity/skiing.aspx",0,1,0,"[0,0,0,0]"
"/products/demo-gift-card",0,1,0,"[0,0,0,0]"
"/pages/instructions",0,1,8,"[1,1,0,0]"
"/pages/grant-application",0,7,58,"[4,4,0,0]"
"/en-eu/store-locator/",0,1,0,"[0,0,0,0]"
"/pages/store-locator-1",0,1,48,"[1,1,0,0]"
"/collections/frontpage",0,6,0,"[0,0,0,0]"
"/pages/affiliates",0,2,8,"[1,1,0,0]"
"/pages/performance",0,28,736,"[3,1,0,2]"
"/en-gb/best-sellers",0,1,0,"[0,0,0,0]"
"/pages/contact-us-rx",0,18,96,"[7,7,0,0]"
"/products/gift-card",0,8,58,"[4,4,0,0]"
"/foot-health/FHI120.aspx",0,1,0,"[0,0,0,0]"
"/foot-health/FHI11.aspx",0,1,0,"[0,0,0,0]"
"/en-ca/shop/insoles/kids",0,1,0,"[0,0,0,0]"
"/gurantee",0,1,0,"[0,0,0,0]"
"/blogs/running",0,3,24,"[1,1,0,0]"
"/guarentee",0,3,640,"[1,0,0,1]"
"/products/blue",0,1,0,"[0,0,0,0]"
"/research",0,2,0,"[0,0,0,0]"
"/blogs/all",0,22,60,"[8,8,0,0]"
"/en-eu/blogs/all",0,1,0,"[0,0,0,0]"
"/en-us/yellow",0,2,0,"[0,0,0,0]"
"/pages/returns",0,1,0,"[0,0,0,0]"
"/en-eu/shop",0,1,0,"[0,0,0,0]"
"/en-us",0,1,0,"[0,0,0,0]"
"/pages",0,8,128,"[3,2,1,0]"
"/pages/",0,2,40,"[1,1,0,0]"
"/de-gb/",0,3,0,"[0,0,0,0]"
"/shop",0,24,96,"[9,9,0,0]"
